Name,Alternate Names,Type,Industry,Derived From,Invented By,Invented For,Year,Country,Digits,Uppercase,Lowercase,Others,Unicode,Error Correction,Identifier,Identifier Modifiers,ZXing,Zint,BWIPP,ZPL,Popularity,Image,Patent,Trademark,Wikipedia,Specification Name,Specification Link,ISO
2D PharmaCode?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 Stack Binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-bit Binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-bit Decimal Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93i,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-M Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ames Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArrayTag (Array Code),,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS-10 Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS-121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS-4 (5) Decimal Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS-6 Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asimov Matrix Code*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AugTag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aztec Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
"Aztec Code, Small",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aztec Mesas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aztec Rune?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baudot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC-309,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC412,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC-412,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCD Matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BeeTagg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bell & Howell (Smudge Code),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bendix,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi-Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilgutay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bone Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bottle Identification Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brainerd,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brinker,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Post (4 state),,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Royal Mail 4-State,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bull's-Eye Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bumpy Barcode?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calra Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canadian Postal Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Card Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casio Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEPNet (Brazil ? same as postnet?),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Code Stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charecogn ? Linear,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Charecogn (Sunburst, Wagon Wheel)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charecogn Code Reading System,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Post (Datalogic 2 of 5),,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIAS BCB (Binary coded Binary),,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIAS Casino Chip Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMC-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Codabar (Rationalized) (Code 27),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Codabar (Traditional) (Code 27),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Codablock (F, E, A, N)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code 1 (Code One),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Code 128 (subsets A, B and C)",,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
Code 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code 16k,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code 1-S,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code 3 of 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code 32 (Italian Pharmacode),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code 39,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
Code 440,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code 49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code 93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code 97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code ATM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coded Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code-Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cogni-Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color Bar Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color Construct Code (Color C Code),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorbit (B-Core),,,,,,,,,,,,,,,,,,,,,,,,,,,,
ColorCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compact Matrix Code (CM Code),,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crypto Code (Smart Post),,,,,,,,,,,,,,,,,,,,,,,,,,,,
CueCat ?cue?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data General,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
Data Processing Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataBar (RSS),,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
DataGlyph,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datastrip Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decimal Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decora Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Delta Distance A, B, C",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deutsche Post Identcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deutsche Post Leitcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dot Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
Dot Code A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double Track (bi-level),,,,,,,,,,,,,,,,,,,,,,,,,,,,
DREF Code (Distribution Code),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dual Image Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUN-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dutch Post (KIX ? same as 4 state?),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dymo ? A, B, C",,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.C.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EAN (8, 13)",,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
EAN-13 composite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EZCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2F Modified,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feissel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filing System Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Film Code (Latent Image Digital Bar Code),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Film Magazine Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Four Bit Binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Four of Five Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fujitsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
German Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid Matrix Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS1 DataBar Expanded,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS1 DataBar Expanded Stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS1 DataBar Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS1 DataBar Omnidirectional,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS1 DataBar Stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS1 DataBar Stacked Omnidirectional,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS1 DataBar Truncated,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guest Check,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Han Xin (Chinese Sensible),,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
HCCB (Microsoft Tag),,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollerith II,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holm Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP-41C,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HueCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyypolainen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBM Postal Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ink Intrusion Resistant Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In-line Binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTACTA.CODE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InterCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interleaved 2 of 5 (ITF),,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
Interleaved Binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iQR Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JagTag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese Post (same as 4 state?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kartrak (ACI),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermode,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kodak Patch Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korean Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Mer Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Label code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEB-code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Litton-Zellweger,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Map Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Sense,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marking Tag Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matrix 2 of 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MaxiCode (Code 6, UPScode)",,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
mCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meter Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MiniCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile MultiColor Composite (MMCC),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modified BCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morris Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moseycode,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorola,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mytago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEC 2 of 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEC 2 of 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nixdorf Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRZI (Non Return to Zero),,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSA (DREF/MRC),,,,,,,,,,,,,,,,,,,,,,,,,,,,
nuHue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NW-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCRT (Optically Coded Readable Target),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Octal Coded DecimalOptically Readable Code 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPC (Optical Product Code),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oscar Mayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Over/Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panacode,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper Byte Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDF417,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
"PDF417, Compact (Truncated)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PDF417, Micro",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Periodic Binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pharmacode,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARMA-CODE One,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PHARMA-CODE, Two Track",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planet Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plastic Bottle Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Playing Card Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Plessey (Alpha, MSI, Anker, Telxon, ISBN)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Posicode,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PosiCode A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PosiCode B,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PosiCode Limited A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PosiCode Limited B,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PostBar 4 State Code (Intelligent Mail Barcode),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Presence/Absense (USD-5, Slug Code)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
PZN7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PZN8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QR Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
"QR Code, Micro",,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
Quickmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rapistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCA Bulls-eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotomark,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semacode,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShotCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SmartCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smudge Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snowflake Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Softstrip,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sperry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Split Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpotCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard 2 of 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage Media Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunblad,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunburst (Special Interleved),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunburst Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SuperCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SureShot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiss PostParcel Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talking Tracks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tekscan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teleform 4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telepen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten Segment Decimal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terma Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thin Codes (4-10),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLC39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLC39 MicroPDF417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tri-bar Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrillCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tri-Optic Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twibright Optar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two Channel XOR Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two of Five ? Computer Identics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two of Five ? Identicon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two of Five ? Industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two Stack Ten Bit Binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two-track pharmacode,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.P.C (A, E)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.P.C. D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ubleam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultracode,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UnisCode (Beijing U Code),,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD-5 (slug code),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Velocity Bar Code (EAN-Velocity),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vericode,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visual Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WaterCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WiMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Young Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zayer Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zellweger,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZoneCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,
